0.01, 0.1212278, 0, 5, 8.977597E-05, -0.0003588164666377272989649883, 121990.5, -899.955, -1.452792, 0.000797999, 0.03187544, 469.6353, 0.4332304, 0.3413765, 0.02646645
 
0.02, 1, 0.001212278, 5, 0.0002697294, -0.0118782315991888730084608541, 121552.7, -900.4541, -1.452792, 0.000797999, 0.03187544, 468.8918, 0.4328242, 0.3411398, 0.0264896
 
0.03, 1, 0.01121228, 5, 0.0004500819, -0.0109945732062018016977725724, 121133.5, -900.7219, -1.452792, 0.000797999, 0.03187544, 468.1821, 0.4328498, 0.340903, 0.02651275
 
0.04, -0.8561492, 0.02121228, 5, 0.002589118, -0.0093508437769706909083500614, 121091.5, -901.002, -1.452792, 0.000797999, 0.03187544, 468.2002, 0.4329023, 0.3406663, 0.0265359
 
0.05, 0.2034574, 0.01265079, 5, 0.005804946, -0.0076677435239955558963006260, 121262.1, -901.556, -1.452792, 0.000797999, 0.03187544, 468.6295, 0.4329618, 0.3404295, 0.02655905
 
0.05999999, -0.6407916, 0.01468536, 5, 0.007867721, -0.0062611521743033332165404030, 121595.9, -902.2659, -1.452792, 0.000797999, 0.03187544, 469.3741, 0.4330147, 0.3401927, 0.0265822
 
0.06999999, 0.1632787, 0.008277444, 5, 0.008888458, -0.0050471078777525137165439295, 121951, -903.0954, -1.452792, 0.000797999, 0.03187544, 470.1592, 0.4330632, 0.339956, 0.02660535
 
0.07999999, -0.4781775, 0.009910231, 5, 0.00890179, -0.0040402328672150335593660932, 122284.9, -903.9401, -1.452792, 0.000797999, 0.03187544, 470.903, 0.4331045, 0.3397192, 0.0266285
 
0.08999999, 0.1287687, 0.005128456, 5, 0.008272693, -0.0031749986834120492953828376, 122522.2, -904.7718, -1.452792, 0.000797999, 0.03187544, 471.4605, 0.4331409, 0.3394825, 0.02665165
 
0.09999999, -0.3537864, 0.006416143, 5, 0.007232138, -0.0024629157439135427506990368, 122662.7, -905.5349, -1.452792, 0.000797999, 0.03187544, 471.832, 0.4331703, 0.3392457, 0.0266748
 
0.11, 0.1010659, 0.002878279, 5, 0.006618311, -0.0018518160753994671609976480, 122785.4, -906.23, -1.452792, 0.000797999, 0.03187544, 472.1692, 0.4331949, 0.3390089, 0.02669795
 
0.12, -0.2596377, 0.003888937, 5, 0.006432422, -0.0013503899499558994448979747, 122890, -906.9144, -1.452792, 0.000797999, 0.03187544, 472.4718, 0.4332154, 0.3387721, 0.0267211
 
0.13, 0.07817052, 0.001292561, 5, 0.006409295, -0.0009201754435781340004049129, 123006.4, -907.5864, -1.452792, 0.000797999, 0.03187544, 472.7973, 0.433233, 0.3385354, 0.02674425
 
0.14, -0.1894625, 0.002074266, 5, 0.006549655, -0.0005680578166352061664910941, 123134.8, -908.2687, -1.452792, 0.000797999, 0.03187544, 473.146, 0.4332481, 0.3382986, 0.0267674
 
0.15, 0.05919153, 0.0001796408, 5, 0.006690129, -0.0002652365530650024313744418, 123275.1, -908.9619, -1.452792, 0.000797999, 0.03187544, 473.5175, 0.4332618, 0.3380618, 0.02679055
 
0.16, -0.1373131, 0.000771556, 5, 0.006781331, -0.0000187127122399475769203429, 123418.2, -909.6641, -1.452792, 0.000797999, 0.03187544, 473.8946, 0.4332735, 0.3378251, 0.0268137
 
0.17, 0.04437505, -0.0006015746, 5, 0.006822764, 0.0001925868407825950180352348, 123564.1, -910.3698, -1.452792, 0.000797999, 0.03187544, 474.2772, 0.4332704, 0.3375883, 0.02683685
 
0.18, -0.09892567, -0.0001578241, 5, 0.006864578, 0.0003639494469900084241739121, 123712.8, -911.0787, -1.452792, 0.000797999, 0.03187544, 474.6652, 0.4332674, 0.3373516, 0.02686
 
0.19, 0.03277422, -0.001147081, 5, 0.006906073, 0.0005107730467480949107329166, 123864.3, -911.7922, -1.452792, 0.000797999, 0.03187544, 475.0587, 0.4332655, 0.3371148, 0.02688315
 
0.2, -0.07087612, -0.0008193385, 5, 0.006947947, 0.0006293805352086426960808738, 124018.6, -912.5092, -1.452792, 0.000797999, 0.03187544, 475.4577, 0.4332647, 0.336878, 0.0269063
 
0.21, 0.023858, -0.0015281, 5, 0.006989921, 0.0007308949853971049694614906, 124175.8, -913.2281, -1.452792, 0.000797999, 0.03187544, 475.8622, 0.4332643, 0.3366413, 0.02692945
 
0.22, -0.05036284, -0.00128952, 5, 0.007031998, 0.0008121366478754467252560354, 124335.8, -913.9517, -1.452792, 0.000797999, 0.03187544, 476.2722, 0.4332648, 0.3364045, 0.0269526
 
0.23, 0.01716166, -0.001793148, 5, 0.007073893, 0.0008814216523345314092449774, 124498.5, -914.6798, -1.452792, 0.000797999, 0.03187544, 476.6877, 0.433266, 0.3361678, 0.02697575
 
0.24, -0.03553916, -0.001621532, 5, 0.007116312, 0.0009363799773132853131399684, 124664.1, -915.4097, -1.452792, 0.000797999, 0.03187544, 477.1087, 0.4332675, 0.335931, 0.0269989
 
0.25, 0.01231925, -0.001976923, 5, 0.00715855, 0.0009826797478185369168584508, 124832.6, -916.1435, -1.452792, 0.000797999, 0.03187544, 477.5352, 0.4332694, 0.3356942, 0.02702205
 
0.26, -0.02488999, -0.001853731, 5, 0.007200886, 0.0010189141646140199503415271, 125003.8, -916.8806, -1.452792, 0.000797999, 0.03187544, 477.9672, 0.4332717, 0.3354575, 0.02704521
 
0.27, 0.00856921, -0.002102631, 5, 0.00724361, 0.0010496633060006663368565765, 125177.9, -917.6217, -1.452792, 0.000797999, 0.03187544, 478.4047, 0.4332744, 0.3352207, 0.02706836
 
0.28, -0.01722689, -0.002016939, 5, 0.007286009, 0.0010731042445239166256713035, 125354.9, -918.3665, -1.452792, 0.000797999, 0.03187544, 478.8477, 0.4332773, 0.3349839, 0.02709151
 
0.29, 0.005645203, -0.002189207, 5, 0.007328794, 0.0010934324034077753619198301, 125534.6, -919.1146, -1.452792, 0.000797999, 0.03187544, 479.2962, 0.4332805, 0.3347471, 0.02711466
 
0.3, -0.01191643, -0.002132755, 5, 0.007371678, 0.0011087871137392644779058633, 125717.3, -919.8661, -1.452792, 0.000797999, 0.03187544, 479.7502, 0.4332838, 0.3345104, 0.02713781
 
0.31, 0.003974, -0.00225192, 5, 0.00741053, 0.0011210095357200317529306973, 125902.1, -920.6209, -1.452792, 0.000797999, 0.03187544, 480.2085, 0.4332873, 0.3342736, 0.02716096
 
0.32, -0.008094211, -0.00221218, 5, 0.007445616, 0.0011295807984461457394763696, 126089, -921.3788, -1.452792, 0.000797999, 0.03187544, 480.6707, 0.4332909, 0.3340369, 0.02718411
 
0.33, 0.00271449, -0.002293122, 5, 0.007480493, 0.0011362161384437174011656121, 126278.1, -922.1393, -1.452792, 0.000797999, 0.03187544, 481.1372, 0.4332947, 0.3338001, 0.02720726
 
0.3399999, -0.005526485, -0.002265977, 5, 0.007515736, 0.0011405634180987370974653077, 126469.2, -922.9039, -1.452792, 0.000797999, 0.03187544, 481.6077, 0.4332987, 0.3335633, 0.02723041
 
