Date,Open,High,Low,Close,Adj Close,Volume
2022-06-27,90.360001,91.199997,89.879997,90.470001,88.961014,7237200
2022-06-28,90.860001,91.959999,89.120003,89.199997,87.712196,4166900
2022-06-29,89.889999,90.550003,89.070000,90.419998,88.911850,4072800
2022-06-30,89.419998,90.820000,88.910004,89.750000,88.253021,5206500
2022-07-01,89.760002,91.540001,89.059998,91.379997,89.855835,3985100
2022-07-05,90.529999,90.839996,88.809998,90.489998,88.980682,3590400
2022-07-06,90.040001,90.480003,89.099998,89.620003,88.125191,8061900
2022-07-07,89.370003,89.699997,88.699997,89.500000,88.007195,5581100
2022-07-08,89.620003,90.410004,89.230003,89.480003,87.987534,3997900
2022-07-11,88.660004,89.320000,88.169998,88.949997,87.466370,3345200
2022-07-12,88.800003,89.989998,88.379997,88.690002,87.210709,6200500
2022-07-13,87.660004,88.599998,86.809998,87.910004,86.443718,4244200
2022-07-14,87.080002,87.669998,86.699997,87.510002,86.050392,3843300
2022-07-15,88.809998,89.290001,88.070000,89.120003,87.633530,5588000
2022-07-18,89.559998,89.779999,87.709999,87.900002,86.433884,4264700
2022-07-19,88.760002,90.419998,88.760002,90.330002,88.823357,4654800
2022-07-20,90.029999,90.320000,88.500000,89.230003,87.741699,6264200
2022-07-21,89.669998,90.550003,89.160004,90.260002,88.754524,4607000
2022-07-22,90.550003,91.620003,89.989998,90.720001,89.206848,3466500
2022-07-25,90.980003,91.519997,90.459999,90.750000,89.236351,3723200
2022-07-26,91.080002,92.220001,90.709999,91.900002,90.367165,5163000
2022-07-27,92.660004,93.529999,92.500000,93.220001,91.665154,5933200
2022-07-28,93.459999,94.050003,92.489998,93.470001,91.910980,4726100
2022-07-29,93.040001,93.449997,92.260002,92.519997,90.976822,6870900
2022-08-01,91.830002,93.279999,91.349998,93.080002,91.527489,4711600
2022-08-02,93.029999,94.139999,92.669998,93.209999,91.655312,4049200
2022-08-03,93.279999,94.139999,92.809998,93.769997,92.205971,3489100
2022-08-04,93.779999,94.150002,92.980003,93.209999,91.655312,3390400
2022-08-05,92.889999,93.379997,92.540001,93.279999,91.724152,3333000
2022-08-08,93.650002,94.389999,93.480003,93.580002,92.019150,3649700
2022-08-09,93.550003,93.970001,92.910004,93.099998,91.547150,2945000
2022-08-10,94.000000,94.360001,93.639999,94.169998,92.599304,4369500
2022-08-11,94.739998,94.970001,93.849998,94.040001,92.471474,5907500
2022-08-12,94.050003,94.839996,93.900002,94.820000,93.238464,8837500
2022-08-15,94.559998,95.489998,94.099998,95.199997,93.612122,3541500
2022-08-16,94.610001,95.559998,94.610001,95.309998,93.720284,3664500
2022-08-17,94.550003,95.260002,94.279999,94.910004,93.326965,3505400
2022-08-18,95.000000,95.339996,94.139999,95.239998,93.651451,3552300
2022-08-19,95.400002,95.599998,94.269997,95.000000,93.415459,4761700
2022-08-22,94.389999,94.970001,92.889999,93.089996,91.537308,6859300
2022-08-23,93.099998,93.169998,89.330002,90.220001,88.715187,8490600
2022-08-24,89.470001,89.959999,88.419998,89.279999,87.790863,6853300
2022-08-25,90.000000,92.180000,89.529999,92.139999,90.603157,6650300
2022-08-26,92.519997,92.930000,89.379997,89.430000,87.938362,5407500
2022-08-29,89.089996,89.480003,88.669998,88.910004,87.427040,4585100
2022-08-30,89.000000,89.040001,87.139999,87.250000,85.794724,5442700
2022-08-31,88.290001,89.169998,87.730003,87.919998,86.453545,6743000
2022-09-01,87.730003,88.589996,86.419998,88.529999,87.053368,4861000
2022-09-02,89.330002,89.330002,86.879997,87.199997,85.745552,4507200
2022-09-06,87.199997,87.510002,85.879997,86.199997,84.762238,5778100
2022-09-07,85.970001,87.339996,85.660004,87.110001,85.657059,11559800
2022-09-08,86.800003,88.510002,86.449997,87.889999,86.424049,7034500
2022-09-09,88.190002,90.059998,87.849998,89.730003,88.233360,6756500
2022-09-12,90.480003,92.389999,90.250000,92.059998,90.524498,6874400
2022-09-13,90.470001,91.750000,90.250000,90.320000,88.813515,6810700
2022-09-14,89.989998,91.180000,89.800003,90.620003,89.108521,7183000
2022-09-15,90.830002,91.900002,90.529999,90.620003,89.108521,5963000
2022-09-16,90.000000,90.620003,89.410004,90.250000,88.744682,14640700
2022-09-19,89.370003,89.949997,87.809998,89.680000,88.184189,5065500
2022-09-20,88.940002,89.019997,87.599998,88.459999,86.984543,5598600
2022-09-21,88.779999,89.199997,85.699997,85.730003,84.300079,5353800
2022-09-22,84.599998,84.919998,83.209999,83.559998,82.823212,6309500
2022-09-23,83.050003,83.120003,81.620003,82.660004,81.931152,5960800
2022-09-26,82.220001,82.589996,80.690002,81.330002,80.612877,7099800
2022-09-27,82.059998,82.389999,80.389999,80.889999,80.176758,5223000
2022-09-28,81.410004,82.919998,80.809998,82.589996,81.861763,6099900
2022-09-29,82.360001,83.139999,81.430000,82.269997,81.544586,5311200
2022-09-30,82.599998,83.550003,80.690002,80.750000,80.037994,5972900
2022-10-03,81.500000,83.239998,81.209999,82.699997,81.970795,5871400
2022-10-04,83.650002,84.860001,83.379997,84.500000,83.754929,4872400
2022-10-05,83.690002,85.370003,83.580002,85.050003,84.300079,3890900
2022-10-06,84.750000,85.050003,83.830002,84.419998,83.675629,5471400
2022-10-07,83.910004,84.040001,82.010002,82.419998,81.693268,4267900
2022-10-10,82.889999,83.059998,81.559998,81.839996,81.118378,3380600
2022-10-11,82.029999,82.879997,81.000000,81.889999,81.167938,5410400
2022-10-12,81.650002,82.019997,80.300003,80.309998,79.601868,6152500
2022-10-13,80.000000,84.209999,79.440002,83.500000,82.763741,6324000
2022-10-14,84.110001,84.699997,81.339996,81.610001,80.890411,5500100
2022-10-17,82.800003,83.580002,82.339996,82.760002,82.030273,9022200
2022-10-18,84.879997,85.129997,83.500000,84.099998,83.358452,6913800
2022-10-19,83.800003,84.169998,82.070000,83.660004,82.922340,5470100
2022-10-20,83.709999,84.010002,82.199997,82.449997,81.723000,4043000
2022-10-21,82.250000,83.529999,80.989998,83.260002,82.525864,5974500
2022-10-24,84.129997,84.459999,83.070000,83.879997,83.140388,6044100
2022-10-25,83.519997,84.699997,83.449997,84.500000,83.754929,5142500
2022-10-26,84.889999,86.650002,84.860001,85.370003,84.617256,3986500
2022-10-27,85.550003,86.059998,84.580002,85.570000,84.815491,5077300
2022-10-28,85.550003,86.949997,85.309998,86.820000,86.054466,5430000
2022-10-31,86.650002,87.680000,86.360001,87.339996,86.569885,6549100
2022-11-01,87.459999,88.050003,86.360001,87.739998,86.966354,6683000
2022-11-02,87.480003,88.739998,85.769997,85.779999,85.023636,6015700
2022-11-03,84.820000,84.830002,83.519997,84.019997,83.279160,5151400
2022-11-04,84.820000,84.889999,83.150002,84.650002,83.903603,5672900
2022-11-07,85.529999,85.839996,84.919998,85.540001,84.785759,5217600
2022-11-08,81.750000,82.180000,79.720001,80.190002,79.482933,12753700
2022-11-09,80.339996,81.489998,79.190002,79.290001,78.590866,7150100
2022-11-10,82.110001,82.199997,81.040001,81.839996,81.118378,9212300
2022-11-11,82.470001,83.650002,81.940002,83.550003,82.813309,8502200
2022-11-14,83.650002,84.690002,82.760002,82.900002,82.169037,6772100
2022-11-15,83.279999,84.260002,82.489998,83.400002,82.664627,6765800
2022-11-16,82.169998,83.269997,81.629997,81.779999,81.058907,8289500
2022-11-17,81.300003,81.300003,79.370003,79.940002,79.235138,8953000
2022-11-18,79.720001,81.629997,79.510002,81.300003,80.583145,9028200
2022-11-21,81.510002,83.440002,81.389999,82.290001,81.564415,8304200
2022-11-22,78.000000,78.279999,76.599998,77.930000,77.242859,17129900
2022-11-23,77.510002,79.230003,77.279999,79.019997,78.323242,9873800
2022-11-25,79.320000,79.720001,78.750000,79.120003,78.422371,4879800
2022-11-28,78.500000,79.099998,75.839996,76.129997,75.458725,11012800
2022-11-29,76.400002,77.160004,75.830002,76.480003,75.805649,8177300
2022-11-30,76.870003,79.070000,76.050003,79.040001,78.343071,10610600
2022-12-01,79.309998,80.160004,78.919998,79.250000,78.551216,7876700
2022-12-02,78.599998,79.699997,78.550003,79.620003,78.917961,6339500
2022-12-05,79.040001,79.419998,78.349998,78.790001,78.095276,8515000
2022-12-06,78.389999,78.750000,76.760002,77.080002,76.400352,7228400
2022-12-07,77.330002,77.660004,76.550003,76.910004,76.231857,6089300
