"1/K","F(K)","G(K)","X1R(K)","X2R(K)","X1I(K)","X2I(K)"
1.012158,.952412812641713,-8.95359386732846E-02,1.36932990764638,1.03251751609642,1.14523523212558,1.14523523212558
1.013185,.950542243363948,-9.17201798793771E-02,1.36932846766336,1.03257212425267,1.14524569082479,1.14524569082479
1.014213,.948674974941065,-9.38541437199259E-02,1.3693270278251,1.03262690252056,1.1452561969541,1.1452561969541
1.015244,.94681133631174,-.09593951807762,1.36932558815049,1.03268185160224,1.14526675066694,1.14526675066694
1.016277,.944951634923775,-9.79778896206877E-02,1.36932414865863,1.03273697220346,1.14527735211731,1.14527735211731
1.017312,.94309615831501,-9.99707534024924E-02,1.3693227093688,1.03279226503359,1.14528800145977,1.14528800145977
1.018349,.941245175537286,-.101919521240303,1.36932127030046,1.03284773080562,1.14529869884941,1.14529869884941
1.019388,.939398938443714,-.10382552906309,1.3693198314733,1.03290337023622,1.14530944444193,1.14530944444193
1.020429,.937557682856334,-.105690043383759,1.36931839290718,1.03295918404573,1.14532023839356,1.14532023839356
1.021472,.935721629628631,-.107514267023884,1.36931695462216,1.03301517295819,1.14533108086111,1.14533108086111
1.022518,.933890985615231,-.109299344197085,1.3693155166385,1.03307133770137,1.14534197200197,1.14534197200197
1.023566,.932065944559338,-.111046365039588,1.36931407897668,1.03312767900679,1.14535291197407,1.14535291197407
1.024615,.930246687907003,-.112756369662153,1.36931264165736,1.03318419760974,1.14536390093594,1.14536390093594
1.025667,.928433385556057,-.114430351785901,1.36931120470141,1.0332408942493,1.1453749390467,1.1453749390467
1.026721,.926626196546541,-.116069262014986,1.36930976812991,1.03329776966837,1.145386026466,1.145386026466
1.027778,.924825269698557,-.117674010791118,1.36930833196417,1.0333548246137,1.14539716335413,1.14539716335413
1.028836,.923030744202745,-.119245471068411,1.36930689622568,1.0334120598359,1.14540834987191,1.14540834987191
1.029897,.921242750167929,-.120784480741536,1.36930546093616,1.03346947608945,1.14541958618079,1.14541958618079
1.03096,.91946140912997,-.122291844855577,1.36930402611754,1.03352707413277,1.14543087244278,1.14543087244278
1.032025,.917686834525362,-.123768337622134,1.36930259179196,1.03358485472821,1.1454422088205,1.1454422088205
1.033092,.915919132132724,-.125214704262971,1.36930115798181,1.03364281864206,1.14545359547714,1.14545359547714
1.034161,.914158400484979,-.126631662699704,1.36929972470965,1.03370096664463,1.1454650325765,1.1454650325765
1.035233,.912404731254736,-.128019905105731,1.36929829199832,1.03375929951021,1.14547652028298,1.14547652028298
1.036307,.910658209615084,-.129380099334533,1.36929685987085,1.03381781801713,1.14548805876159,1.14548805876159
1.037383,.90891891457781,-.130712890236791,1.3692954283505,1.0338765229478,1.14549964817791,1.14549964817791
1.038461,.907186919310849,-.132018900877275,1.36929399746077,1.03393541508868,1.14551128869815,1.14551128869815
1.039542,.905462291436562,-.13329873366115,1.36929256722539,1.03399449523038,1.14552298048914,1.14552298048914
1.040625,.903745093312333,-.13455297137829,1.36929113766832,1.03405376416761,1.14553472371828,1.14553472371828
1.04171,.90203538229479,-.135782178173161,1.36928970881376,1.03411322269926,1.14554651855362,1.14554651855362
1.042797,.900333210988861,-.136986900447063,1.36928828068614,1.0341728716284,1.1455583651638,1.1455583651638
1.043887,.898638627482748,-.138167667698733,1.36928685331015,1.03423271176232,1.1455702637181,1.1455702637181
1.044979,.896951675569828,-.139324993308708,1.36928542671069,1.03429274391255,1.14558221438641,1.14558221438641
1.046073,.895272394958365,-.14045937527226,1.36928400091294,1.03435296889487,1.14559421733923,1.14559421733923
1.04717,.893600821469887,-.141571296885234,1.36928257594232,1.03441338752937,1.14560627274771,1.14560627274771
1.048269,.891936987226968,-.142661227386687,1.36928115182447,1.03447400064044,1.14561838078361,1.14561838078361
1.04937,.890280920831117,-.143729622561821,1.36927972858532,1.03453480905685,1.14563054161932,1.14563054161932
1.050473,.888632647531418,-.144776925308375,1.36927830625104,1.0345958136117,1.14564275542788,1.14564275542788
1.051579,.8869921893845,-.145803566169351,1.36927688484806,1.03465701514251,1.14565502238294,1.14565502238294
1.052687,.885359565406387,-.146809963834643,1.36927546440306,1.03471841449125,1.14566734265882,1.14566734265882
1.053797,.883734791716721,-.147796525613936,1.36927404494298,1.0347800125043,1.14567971643044,1.14567971643044
1.05491,.882117881675828,-.148763647883006,1.36927262649504,1.03484181003257,1.14569214387341,1.14569214387341
1.056025,.880508846015045,-.149711716505358,1.36927120908673,1.03490380793145,1.14570462516394,1.14570462516394
1.057143,.878907692960715,-.150641107230988,1.36926979274578,1.03496600706089,1.14571716047892,1.14571716047892
1.058263,.877314428352207,-.151552186073872,1.36926837750021,1.03502840828538,1.14572974999589,1.14572974999589
1.059385,.875729055754311,-.152445309669673,1.36926696337833,1.03509101247405,1.14574239389303,1.14574239389303
1.060509,.874151576564317,-.153320825615013,1.36926555040871,1.03515382050063,1.14575509234918,1.14575509234918
1.061636,.872581990114084,-.154179072789556,1.36926413862019,1.03521683324351,1.14576784554384,1.14576784554384
1.062766,.871020293767367,-.155020381662033,1.3692627280419,1.03528005158575,1.14578065365718,1.14578065365718
1.063898,.869466483012656,-.15584507458127,1.36926131870328,1.03534347641516,1.14579351687003,1.14579351687003
1.065032,.867920551551779,-.156653466053176,1.36925991063402,1.03540710862428,1.14580643536388,1.14580643536388
1.066168,.866382491384487,-.157445863004569,1.36925850386412,1.0354709491104,1.1458194093209,1.1458194093209
1.067308,.864852292889222,-.158222565034684,1.36925709842386,1.03553499877564,1.14583243892392,1.14583243892392
1.068449,.863329944900282,-.158983864655095,1.36925569434385,1.03559925852697,1.14584552435647,1.14584552435647
1.069593,.86181543478156,-.15973004751877,1.36925429165496,1.03566372927619,1.14585866580273,1.14585866580273
1.070739,.860308748497021,-.160461392638891,1.36925289038837,1.03572841194002,1.14587186344759,1.14587186344759
1.071888,.858809870678099,-.161178172598056,1.36925149057558,1.0357933074401,1.14588511747659,1.14588511747659
1.07304,.857318784688148,-.161880653748404,1.36925009224839,1.03585841670304,1.14589842807599,1.14589842807599
1.074193,.855835472684105,-.162569096403196,1.3692486954389,1.03592374066044,1.14591179543271,1.14591179543271
1.07535,.854359915675489,-.163243755020317,1.36924730017954,1.0359892802489,1.14592521973439,1.14592521973439
1.076508,.852892093580877,-.163904878378165,1.36924590650304,1.03605503641011,1.14593870116935,1.14593870116935
1.07767,.851431985281966,-.164552709744322,1.36924451444247,1.03612101009082,1.14595223992661,1.14595223992661
1.078834,.849979568675332,-.165187487037416,1.3692431240312,1.03618720224293,1.14596583619589,1.14596583619589
1.08,.848534820722019,-.165809442982531,1.36924173530294,1.03625361382345,1.14597949016762,1.14597949016762
1.081169,.847097717495016,-.166418805260486,1.36924034829172,1.03632024579462,1.14599320203293,1.14599320203293
1.08234,.845668234224764,-.167015796651334,1.3692389630319,1.03638709912388,1.14600697198366,1.14600697198366
1.083514,.844246345342746,-.167600635172345,1.3692375795582,1.03645417478392,1.14602080021237,1.14602080021237
1.08469,.842832024523277,-.16817353421077,1.36923619790564,1.03652147375272,1.14603468691233,1.14603468691233
1.085869,.841425244723543,-.168734702651635,1.36923481810961,1.03658899701359,1.14604863227752,1.14604863227752
1.087051,.840025978222001,-.169284345000818,1.36923344020584,1.03665674555518,1.14606263650266,1.14606263650266
1.088235,.838634196655186,-.169822661503636,1.36923206423039,1.03672472037154,1.14607669978319,1.14607669978319
1.089422,.837249871053001,-.170349848259145,1.36923069021969,1.03679292246213,1.14609082231526,1.14609082231526
1.090611,.835872971872572,-.170866097330377,1.36922931821052,1.0368613528319,1.14610500429577,1.14610500429577
1.091803,.834503469030706,-.171371596850689,1.36922794824002,1.03693001249127,1.14611924592234,1.14611924592234
1.092998,.833141331935027,-.171866531126399,1.36922658034568,1.03699890245619,1.14613354739334,1.14613354739334
1.094195,.831786529513846,-.172351080735901,1.36922521456537,1.0370680237482,1.14614790890787,1.14614790890787
1.095394,.830439030244809,-.17282542262539,1.36922385093733,1.0371373773944,1.14616233066577,1.14616233066577
1.096597,.829098802182389,-.173289730201368,1.36922248950015,1.03720696442758,1.14617681286764,1.14617681286764
1.097802,.827765812984255,-.17374417342006,1.36922113029282,1.03727678588616,1.14619135571481,1.14619135571481
1.09901,.826440029936579,-.174188918873886,1.36921977335471,1.0373468428143,1.14620595940938,1.14620595940938
1.10022,.825121419978315,-.174624129875103,1.36921841872554,1.03741713626191,1.14622062415418,1.14622062415418
1.101433,.823809949724491,-.17504996653675,1.36921706644546,1.03748766728467,1.14623535015284,1.14623535015284
1.102649,.822505585488571,-.175466585850992,1.36921571655498,1.0375584369441,1.1462501376097,1.1462501376097
1.103867,.821208293303902,-.175874141764995,1.36921436909502,1.03762944630758,1.1462649867299,1.1462649867299
1.105088,.819918038944298,-.176272785254411,1.3692130241069,1.03770069644838,1.14627989771934,1.14627989771934
1.106312,.818634787943795,-.17666266439458,1.36921168163233,1.03777218844571,1.14629487078468,1.14629487078468
1.107539,.817358505615602,-.177043924429543,1.36921034171343,1.03784392338479,1.14630990613336,1.14630990613336
1.108768,.816089157070288,-.177416707838951,1.36920900439273,1.03791590235682,1.14632500397361,1.14632500397361
1.11,.814826707233235,-.177781154402946,1.36920766971319,1.03798812645908,1.14634016451441,1.14634016451441
1.111234,.813571120861379,-.1781374012651,1.36920633771816,1.03806059679494,1.14635538796557,1.14635538796557
1.112472,.81232236255928,-.178485582993495,1.36920500845144,1.03813331447389,1.14637067453763,1.14637067453763
1.113712,.811080396794528,-.178825831639991,1.36920368195723,1.03820628061164,1.14638602444196,1.14638602444196
